EXTRACTION.TAX_RETURN	Сдача
EXTRACTION.LOCKED	Закрыто
EXTRACTION.READY	Готово
EXTRACTION.ACTIVE	Активно
EXTRACTION.EXTRACTING	Сдача
EXTRACTION.COMPLETED	Завершено
COSMETIC_SHOP_MACHINE.NEW	Новое
VALUABLE_BOX.TOO_BIG	Слишком большое
VALUABLE_BOX.TOO_FULL	Слишком полное
VALUABLE_BOX.EXTRACT	Сдать
TRUCK_SCREEN.TAXMAN	Сборщик налогов
TRUCK_SCREEN.DESTROYING_SLACKERS	Уничтожение бездельников
TRUCK_SCREEN.STARTING_ENGINE	Запуск двигателя
TRUCK_SCREEN.HITTING_THE_ROAD	Отправляемся в путь
